,carname,price,milage,hubraum,transmission,num_seats,num_doors,emission_class,car_type,num_owners,age,power_ps,power_kw,Schaden,Model,amg,mc_laren,blk_series,blue_eff,g_pow,brabus,avantgarde,elegance,tag_63,tag_65,tag_55,tüv,E10,biodiesel,pflanzenöl,electric,fueltype
10,Mercedes-Benz MERCEDES E KLASSE w211 E 220,1950.0,211000.0,2506.206500956023,Schaltgetriebe,na,na,na,limousine,na,17.333333333333332,250.86870229007633,184.57506361323155,na,E-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
11,Mercedes-Benz Mercedes-Benz Vaneo Compact Van 1.9 mit T...,1650.0,152560.0,1432.1846153846154,Schaltgetriebe,na,na,na,limousine,na,17.166666666666668,125.0,92.0,na,Vaneo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
12,Mercedes-Benz Mercedes Benz A Klasse,1000.0,252358.0,1662.0386329866271,Schaltgetriebe,na,na,na,kleinwagen,na,18.166666666666668,80.0,59.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
13,Mercedes-Benz Mercedes A140 Benzin,1100.0,228221.0,1662.0386329866271,Schaltgetriebe,na,na,na,andere,na,18.166666666666668,136.0710498409332,100.06998939554613,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
14,Mercedes-Benz Mercedes C200 CDI T- Modell AHK Kombi,1900.0,271000.0,2386.2583961617547,Schaltgetriebe,na,na,na,kombi,na,13.666666666666666,122.0,90.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
15,Mercedes-Benz Mercedes E200 Kompressor W210 T Modell,1700.0,230000.0,2506.206500956023,Automatik,na,na,na,kombi,na,18.583333333333332,163.0,120.0,na,E-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
16,Mercedes-Benz Vito 110 CDI,1999.0,280000.0,2148.0,Schaltgetriebe,8,4/5,na,van,na,17.916666666666668,102.0,75.0,na,Vito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
17,Mercedes-Benz Genau lesen !!! Tausch gegen Mercedes ML a...,1750.0,374000.0,3310.7383177570096,Schaltgetriebe,na,na,na,kombi,na,17.0,116.0,85.0,na,M-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
18,Mercedes-Benz Vito 110 CDI 8 Sitze 8-fach bereift,1999.0,280000.0,2047.076923076923,Schaltgetriebe,na,na,na,andere,na,17.916666666666668,102.0,75.0,na,Vito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
19,Mercedes-Benz A 140 Classic,1999.0,140000.0,1397.0,Automatik,5,4/5,Euro4,limousine,3,20.916666666666668,82.0,60.0,without,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
20,Mercedes-Benz Mercedes A160,1200.0,223000.0,1662.0386329866271,Schaltgetriebe,na,na,na,kleinwagen,na,19.083333333333332,102.0,75.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
21,Mercedes-Benz Mercedes Benz A 170 CDI,1100.0,177279.0,1662.0386329866271,Automatik,na,na,na,kleinwagen,na,17.0,136.0710498409332,100.06998939554613,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
22,Mercedes-Benz Mercedes E 270 Cdi,1300.0,232000.0,2506.206500956023,-1,na,na,na,andere,na,16.0,170.0,125.0,na,E-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
23,"Mercedes-Benz Mercedes C- Klasse 220. CDI Automatik , TÜ...",1199.0,266000.0,3312.844155844156,Automatik,na,na,na,kombi,na,17.166666666666668,276.94528301886794,203.68490566037735,na,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
24,Mercedes-Benz A 140,1790.0,137000.0,1391.0,Schaltgetriebe,5,4/5,Euro4,limousine,na,19.083333333333332,82.0,60.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
25,Mercedes-Benz C 200 CDI Sportcoupe,1800.0,251000.0,2148.0,Schaltgetriebe,4,2/3,Euro4,sport,na,14.833333333333334,122.0,90.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
26,Mercedes-Benz Mercedes clk 320i,2000.0,260000.0,2927.7894736842104,Automatik,na,na,na,sport,na,20.416666666666668,218.0,160.0,na,CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
27,"Mercedes-Benz Mercedes E220 CDI Avangat Inkl, 5 Motore...",2000.0,350000.0,2506.206500956023,Automatik,na,na,na,kombi,na,12.583333333333334,170.0,125.0,na,E-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
28,Mercedes-Benz Mercedes C180 Kompressor,1600.0,305000.0,2386.2583961617547,Schaltgetriebe,na,na,na,kombi,na,16.75,141.0,104.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
29,Mercedes-Benz Mercedes C-Klasse,2000.0,235000.0,2386.2583961617547,Automatik,na,na,na,kombi,na,16.0,143.0,105.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
30,"Mercedes-Benz Mercedes-Benz C220 CDI | 04/22 TÜV, Automa...",2000.0,253000.0,2386.2583961617547,Automatik,na,na,na,limousine,na,15.5,150.0,110.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Diesel
31,Mercedes-Benz Mercedes-Benz A 160 benzin,1990.0,181000.0,1662.0386329866271,Schaltgetriebe,na,na,na,limousine,na,16.666666666666668,136.0710498409332,100.06998939554613,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
32,Mercedes-Benz a 160 elegance,1400.0,148000.0,3312.844155844156,Schaltgetriebe,na,na,na,kleinwagen,na,16.5,102.0,75.0,na,OTHER,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Benzin
33,Mercedes-Benz Mercedes Benz C200 CDI (MOTOR/GETRIEBE TOP),1200.0,311500.0,2386.2583961617547,Schaltgetriebe,na,na,na,limousine,na,17.666666666666668,220.64985014985015,162.2937062937063,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
34,Mercedes-Benz Mercedes-Benz CDI 270,1550.0,397000.0,3312.844155844156,Schaltgetriebe,na,na,na,kombi,na,17.75,170.0,125.0,na,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
35,Mercedes-Benz Zu zuverlässige sparsame A 160,1599.0,216000.0,1662.0386329866271,Schaltgetriebe,na,na,na,limousine,na,20.666666666666668,136.0710498409332,100.06998939554613,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
36,Mercedes-Benz Benz A 160 Benziner mit TÜV bis 07.2022,1650.0,161000.0,1662.0386329866271,Automatik,na,na,na,kleinwagen,na,15.416666666666666,102.0,75.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Benzin
37,Mercedes-Benz Mercedes A160 Langversion(selten!!) Wenige...,2000.0,100211.0,1662.0386329866271,Schaltgetriebe,na,na,na,andere,na,16.666666666666668,101.0,74.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
38,Mercedes-Benz Mercedes A160 Langversion(selten!!) Wenige...,2000.0,100211.0,1662.0386329866271,Schaltgetriebe,na,na,na,andere,na,16.666666666666668,101.0,74.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
39,"Mercedes-Benz Mercedes Benz A150 W169, angemeldet",1999.0,161000.0,1662.0386329866271,Schaltgetriebe,na,na,na,kleinwagen,na,15.166666666666666,95.0,70.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
40,Mercedes-Benz Mercedes c200,1850.0,147000.0,2386.2583961617547,Schaltgetriebe,na,na,na,limousine,na,19.083333333333332,220.64985014985015,162.2937062937063,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
41,Mercedes-Benz Mercedes A160,1900.0,140619.0,1662.0386329866271,Automatik,na,na,na,kleinwagen,na,18.5,102.0,75.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
42,Mercedes-Benz Mercedes Benz E 200CDi zu verkaufen,1950.0,177600.0,2506.206500956023,Automatik,na,na,na,limousine,na,18.5,116.0,85.0,na,E-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
43,Mercedes-Benz UnfallSLK 230 KOMPRESSOR PS 197 Unf...,1100.0,362000.0,3696.986394557823,Schaltgetriebe,na,na,na,cabrio,na,20.916666666666668,197.0,145.0,na,SL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
44,Mercedes-Benz Mercedes-Benz C200 Coupé,1650.0,195000.0,2386.2583961617547,Automatik,na,na,na,sport,na,18.75,163.0,120.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
45,Mercedes-Benz Mercedes CLK 200 coupe mit anhängerkupplun...,1300.0,232880.0,2927.7894736842104,Schaltgetriebe,na,na,na,sport,na,20.583333333333332,136.0,100.0,na,CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
46,Mercedes-Benz Mercedes Benz w203 TÜV2022,1888.0,270000.0,3312.844155844156,Automatik,na,na,na,kombi,na,18.166666666666668,129.0,95.0,na,OTHER,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Benzin
47,Mercedes-Benz Mercedes-Benz E280 Avantgarde 2004,2000.0,320000.0,2506.206500956023,Automatik,na,na,na,limousine,na,15.666666666666666,177.0,130.0,na,E-Klasse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Diesel
48,Mercedes-Benz Mercedes A Classe,1450.0,191000.0,1662.0386329866271,Schaltgetriebe,na,na,na,limousine,na,19.416666666666668,82.0,60.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
49,Mercedes-Benz Mercedes Benz C 200 CDI Elegance,1150.0,352000.0,2386.2583961617547,Schaltgetriebe,na,na,na,andere,na,16.25,122.0,90.0,na,C-Klasse,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Diesel
50,Mercedes-Benz Mercedes E- 320 4-matic kombi 7 Sitzer,1500.0,300000.0,3312.844155844156,Automatik,na,na,na,kombi,na,20.0,276.94528301886794,203.68490566037735,na,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
51,Mercedes-Benz Biete Gelben Sprinter -TÜV 03/21 - Erstzu...,1900.0,252764.0,2258.196319018405,-1,na,na,na,andere,na,17.0,145.89056603773585,107.34716981132075,na,Sprinter,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,na
52,Mercedes-Benz Mercedes Benz c200,2000.0,247000.0,2386.2583961617547,Schaltgetriebe,na,na,na,limousine,na,16.5,140.0,103.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
53,Mercedes-Benz Mercedes-Benz E 280 T Avantgarde W210 Benz...,2000.0,190934.0,2506.206500956023,Automatik,na,na,na,kombi,na,17.833333333333332,204.0,150.0,na,E-Klasse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Benzin
54,Mercedes-Benz Mercedes-Benz A 160 A-Klasse,1150.0,123000.0,1662.0386329866271,Schaltgetriebe,na,na,na,kleinwagen,na,18.416666666666668,101.0,74.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
55,Mercedes-Benz Mercedes Benz C180 Kompressor,1590.0,212000.0,2386.2583961617547,Schaltgetriebe,na,na,na,kombi,na,16.25,143.0,105.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
56,Mercedes-Benz A 140 Elegance,1249.0,78000.0,1397.0,Schaltgetriebe,5,4/5,Euro3,limousine,3,18.583333333333332,82.0,60.0,without,A-Klasse,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Benzin
57,Mercedes-Benz Verkaufe Mercedes Benz E 320 Kombi Avantgarde,1400.0,285000.0,2506.206500956023,Automatik,na,na,na,kombi,na,19.25,224.0,165.0,na,E-Klasse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Benzin
58,Mercedes-Benz Verkaufe Mercedes Benz E 320 Kombi Avantgarde,1400.0,285000.0,2506.206500956023,Automatik,na,na,na,kombi,na,19.25,224.0,165.0,na,E-Klasse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Benzin
59,Mercedes-Benz Mercedes C220 Avantgarde,1250.0,271000.0,2386.2583961617547,Automatik,na,na,na,kombi,na,16.416666666666668,143.0,105.0,na,C-Klasse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Diesel
60,Mercedes-Benz Mercedes Vaneo Tüv 7/2021 Verkauf/Tausch+...,1400.0,266000.0,1432.1846153846154,Schaltgetriebe,na,na,na,andere,na,15.333333333333334,90.0,66.0,na,Vaneo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Diesel
61,Mercedes-Benz C 200 Kompressor Classic,1790.0,273000.0,1998.0,Schaltgetriebe,5,4/5,Euro4,limousine,2,18.083333333333332,163.0,120.0,without,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
62,"Mercedes-Benz mercedes vaneo 1,9 , 125 ps mit tüv 204000km",1400.0,204000.0,1432.1846153846154,Schaltgetriebe,na,na,na,van,na,16.5,125.0,92.0,na,Vaneo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Benzin
63,Mercedes-Benz Mercedes C220,1200.0,269896.0,2386.2583961617547,Schaltgetriebe,na,na,na,limousine,na,19.0,220.64985014985015,162.2937062937063,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
64,Mercedes-Benz W210 E270 cdi Automatik,1400.0,300000.0,2506.206500956023,Automatik,na,na,na,kombi,na,18.0,170.0,125.0,na,E-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
65,Mercedes-Benz CLK 320,1200.0,294000.0,3199.0,Automatik,4,2/3,Euro3,sport,na,18.75,218.0,160.0,na,CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
66,Mercedes-Benz Mercedes c220 cdi,1100.0,257000.0,2386.2583961617547,Automatik,na,na,na,limousine,na,18.166666666666668,120.0,88.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
67,Mercedes-Benz Mercedes E240 - W210 - Avantgarde - TÜV 10/22,1550.0,183000.0,2506.206500956023,Schaltgetriebe,na,na,na,limousine,na,21.166666666666668,170.0,125.0,na,E-Klasse,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Benzin
68,Mercedes-Benz Mercedes Benz c200,1500.0,220000.0,2386.2583961617547,Automatik,na,na,na,andere,na,17.5,122.0,90.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
69,Mercedes-Benz Mercedes Benz E 240 Avantgarde W210,1350.0,229500.0,2506.206500956023,Automatik,na,na,na,kombi,na,21.0,160.0,118.0,na,E-Klasse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Benzin
70,Mercedes-Benz Mercedes Benz C200 CDI Automatik,1950.0,265000.0,2386.2583961617547,Automatik,na,na,na,limousine,na,19.25,116.0,85.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
71,Mercedes-Benz B 180 CDI Automatik*Sitzhzg.*Klima,1900.0,345000.0,1991.0,Automatik,5,4/5,Euro4,van,2,14.0,109.0,80.0,na,B-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
72,Mercedes-Benz Mercedes E270 cdi,1899.0,287000.0,2506.206500956023,Schaltgetriebe,na,na,na,limousine,na,17.583333333333332,177.0,130.0,na,E-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
73,Mercedes-Benz Mercedes A-Klasse A150 W169,1990.0,222750.0,1662.0386329866271,Schaltgetriebe,na,na,na,kleinwagen,na,13.75,97.0,71.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
74,Mercedes-Benz Mercedes C200 Kompressor Kombi,1300.0,199782.0,2386.2583961617547,Automatik,na,na,na,kombi,na,17.75,220.64985014985015,162.2937062937063,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
75,Mercedes-Benz A 160 L*Automatik*NAVI*Faltschiebedach*SHZ*BOSE,1990.0,130510.0,1595.0,Automatik,5,4/5,Euro4,limousine,4,17.083333333333332,102.0,75.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
76,Mercedes-Benz MB Vito 109 CDI Kasten,1990.0,150000.0,2047.076923076923,Schaltgetriebe,na,na,na,kombi,na,11.75,95.0,70.0,na,Vito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
77,Mercedes-Benz Mercedes Benz w 203 kombi,1490.0,195000.0,3312.844155844156,Schaltgetriebe,na,na,na,kombi,na,17.75,163.0,120.0,na,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
78,Mercedes-Benz Mercedes E270 cdi,1899.0,287000.0,2506.206500956023,Schaltgetriebe,na,na,na,limousine,na,17.583333333333332,177.0,130.0,na,E-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
79,Mercedes-Benz Mercedes A-Klasse A150 W169,1990.0,222750.0,1662.0386329866271,Schaltgetriebe,na,na,na,kleinwagen,na,13.75,97.0,71.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
80,Mercedes-Benz Mercedes C200 Kompressor Kombi,1300.0,199782.0,2386.2583961617547,Automatik,na,na,na,kombi,na,17.75,220.64985014985015,162.2937062937063,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
81,Mercedes-Benz A 160 L*Automatik*NAVI*Faltschiebedach*SHZ*BOSE,1990.0,130510.0,1595.0,Automatik,5,4/5,Euro4,limousine,4,17.083333333333332,102.0,75.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
82,Mercedes-Benz MB Vito 109 CDI Kasten,1990.0,150000.0,2047.076923076923,Schaltgetriebe,na,na,na,kombi,na,11.75,95.0,70.0,na,Vito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
83,Mercedes-Benz Mercedes Benz w 203 kombi,1490.0,195000.0,3312.844155844156,Schaltgetriebe,na,na,na,kombi,na,17.75,163.0,120.0,na,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
84,Mercedes-Benz Mercedes benz clk *FESTPREIS*,1000.0,189000.0,2927.7894736842104,Automatik,na,na,na,sport,na,21.416666666666668,198.96330275229357,146.3119266055046,na,CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
85,Mercedes-Benz verkaufe meine schöne CLK 320 Coupe TÜV neu,1800.0,228000.0,2927.7894736842104,Automatik,na,na,na,sport,na,21.25,218.0,160.0,na,CLK,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Benzin
86,Mercedes-Benz Mercedes C-Klasse 200 CDI,1250.0,257000.0,2386.2583961617547,Schaltgetriebe,na,na,na,limousine,na,18.916666666666668,220.64985014985015,162.2937062937063,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
87,Mercedes-Benz Mercedes 200 Kompressor TÜV 10/2022,1499.0,243508.0,3312.844155844156,Schaltgetriebe,na,na,na,sport,na,18.083333333333332,163.0,120.0,na,OTHER,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Benzin
88,Mercedes-Benz A 140 Classic / Tüv u. Insp. neu !! ROSTRFREI !,1999.0,141000.0,1397.0,Schaltgetriebe,5,4/5,Euro4,kleinwagen,na,16.166666666666668,82.0,60.0,without,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Benzin
89,Mercedes-Benz Mercedes A160 cdi,2000.0,205000.0,1662.0386329866271,Schaltgetriebe,na,na,na,andere,na,14.5,82.0,60.0,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
90,Mercedes-Benz A 160 Classic,1399.0,184000.0,1598.0,Schaltgetriebe,5,4/5,Euro4,limousine,na,18.416666666666668,102.0,75.0,without,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
91,Mercedes-Benz Mercedes Benz c180 TÜV Neu,1899.0,121849.0,2386.2583961617547,Schaltgetriebe,na,na,na,limousine,na,19.083333333333332,129.0,95.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Benzin
92,Mercedes-Benz Mercedes Benz C220 CDI Kombi 6 Gang aus 2....,1990.0,204000.0,2386.2583961617547,Schaltgetriebe,na,na,na,kombi,na,17.75,150.0,110.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
93,Mercedes-Benz Mercedes Benz E 270 CDI *Avantgarde,1199.0,289605.0,2506.206500956023,Automatik,na,na,na,kombi,na,20.166666666666668,170.0,125.0,na,E-Klasse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Diesel
94,Mercedes-Benz MB C 180 Classic - 156TKm,1450.0,155500.0,1799.0,Automatik,5,4/5,Euro2,limousine,2,21.083333333333332,122.0,90.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
95,Mercedes-Benz Mercedes C 180 Sportcoupe Kompressor cl 20...,1800.0,225605.0,2386.2583961617547,Schaltgetriebe,na,na,na,sport,na,17.5,141.0,104.0,na,C-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
96,Mercedes-Benz Verkaufe Mercedes-Benz Vito,1300.0,276000.0,2047.076923076923,Schaltgetriebe,na,na,na,van,na,17.0,101.0,74.0,na,Vito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
97,Mercedes-Benz Mercedes CLK Cabrio 230K,1750.0,322984.0,2927.7894736842104,Automatik,na,na,na,cabrio,na,21.5,198.96330275229357,146.3119266055046,na,CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
98,Mercedes-Benz Mercedes CLK Cabrio 230K,1750.0,322984.0,2927.7894736842104,Automatik,na,na,na,cabrio,na,21.5,198.96330275229357,146.3119266055046,na,CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
99,Mercedes-Benz Mercedes A Klasse,1050.0,156000.0,1662.0386329866271,Schaltgetriebe,na,na,na,andere,na,19.916666666666668,136.0710498409332,100.06998939554613,na,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
100,Mercedes-Benz Mercedes-Benz E 270 cdi,1500.0,223000.0,2506.206500956023,Automatik,na,na,na,kombi,na,19.833333333333332,170.0,125.0,na,E-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na
101,Mercedes-Benz auch tauschen möglich,1900.0,204222.0,3564.923076923077,Automatik,na,na,na,limousine,na,20.0,279.0,205.0,na,GL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzin
102,Mercedes-Benz E 240 T Avantgarde,1350.0,229500.0,2397.0,Schaltgetriebe,5,4/5,Euro3,kombi,na,21.083333333333332,170.0,125.0,na,E-Klasse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Benzin
103,Mercedes-Benz Mersedes LM 3.2 LPG BENZIN,1950.0,260000.0,3312.844155844156,Automatik,na,na,na,suv,na,19.75,276.94528301886794,203.68490566037735,na,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Autogas
104,Mercedes-Benz A -Klasse A 170 CDI L *AHK*,1699.0,132900.0,1689.0,Automatik,5,4/5,Euro3,kleinwagen,2,17.416666666666668,95.0,70.0,without,A-Klasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel
